Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1872,M,M,M,M,M,M,M,M,M,M,1.21,3.3
1873,2.53,4.05,3.73,2.89,6.05,4.49,3.37,2.96,1.6,5.47,1.92,4.48
1874,5.41,4.89,5.9,6.81,0.79,3.55,6.26,1.57,2.89,0.92,4.27,3.83
1875,2.61,3.12,6.18,2.06,2.43,4.16,11.22,0.62,1.72,2.37,5.87,3.68
1876,6.06,1.66,3.63,4.2,2.16,4.13,3.84,M,M,M,M,M
1877,M,M,M,M,M,M,M,M,M,M,M,M
1878,M,M,M,M,M,M,M,M,M,M,M,M
1879,M,M,M,M,M,M,M,M,M,M,M,M
1880,M,M,M,M,M,M,M,M,M,M,M,M
1881,M,M,M,M,M,M,M,M,M,M,M,M
1882,M,M,M,M,M,M,M,M,M,M,M,M
1883,M,M,M,M,M,M,M,M,M,M,M,M
1884,M,M,M,M,M,M,M,M,M,M,M,M
1885,M,M,M,M,M,M,M,M,M,M,M,M
1886,M,M,M,M,M,M,M,M,M,M,M,M
1887,M,M,M,M,M,M,M,M,M,M,3.02,2.71
1950,16.65,3.64,3.61,3.34,5.06,4.17,6.84,2.7,4.28,1.51,5.04,1.83
1951,11.15,3.64,4.96,2.49,2.16,4.38,1.83,2.98,3.6,3.1,6.87,7.3
1952,5.62,2.72,7.36,2.06,3.15,4.43,3.01,2.8,1.58,1.17,3.51,3.58
1953,4.1,1.44,7.84,3.88,5.47,3.71,3.67,2.44,1.58,1.12,1.46,2.44
1954,4.16,1.68,2.38,3.79,2.23,2.14,3.82,3.29,4.97,1.33,2.36,3.38
1955,1.57,7.69,7.03,1.71,6.43,4.06,5.73,3.95,2.43,2.29,2.56,1.86
1956,3.25,7.06,6.47,4.79,3.7,6.8,6.1,3.59,1.77,1.78,2.32,4.52
1957,4.45,3.48,2.15,7.66,4.22,5.74,0.76,3.02,3.18,2.7,5.57,5.69
1958,3.29,1.77,2.26,4.16,5.29,4.61,10.64,4.02,2.6,0.86,3.31,1.15
1959,4.86,3.18,1.82,2.99,3.2,3.21,4.05,2.19,0.24,3.91,4.49,4.43
1960,2.5,4.55,1.49,1.65,4.03,11.69,1.94,4.14,5.2,2.5,3.61,1.79
1961,1.71,3.89,6.18,6.04,6.14,5.12,5.98,2.62,1.5,0.88,3.04,3.89
1962,4.29,7.24,5.16,2.61,5.68,4.68,4.24,2.71,2.66,4.46,3.92,2.36
1963,1.47,1.81,6.82,1.61,3.48,3.27,7.18,4.14,0.37,0.33,1.81,0.81
1964,2.83,2.52,10.06,2.86,1.68,3.55,3.99,1.96,4.91,0.57,2.37,6.18
1965,2.83,2.92,5.45,3.24,1.2,3.28,3.64,1.92,3.55,2.44,1.02,0.61
1966,3.99,3.64,0.99,7.16,4.85,1.36,5.74,4.55,4.03,1.44,4.01,4.6
1967,1.35,2.29,6.03,3.61,6.94,2.65,5.87,3.63,2.97,2.11,4.15,3.99
1968,1.44,0.71,6.76,3.23,6.87,2.83,4.54,5.27,2.98,2.57,3.23,2.89
1969,4.26,1.6,1.5,3.83,3.78,4.61,4.37,5.96,0.49,1.53,3.42,4.15
1970,0.95,3.6,4.72,9.3,3.18,3.81,3.39,2.61,5.71,2.37,2.35,5.51
1971,3.29,4.72,2.02,2.1,6.14,7.84,7.64,0.88,3.51,0.52,1.71,4.3
1972,4.1,5.6,4.04,8.75,3.84,3.61,5.58,3.95,4.3,2.71,4.21,6.92
1973,1.53,1.58,5.08,5.67,8.22,6.06,5.15,3.58,1.4,2.65,6.58,3.42
1974,6.39,2.24,5.89,3.33,5.52,7.21,4.82,11.18,4.18,1.53,4.08,3.72
1975,3.66,5.7,10.38,6.17,2.69,2.23,5.6,3.96,6.46,5.09,2.93,4.24
1976,3.59,4.67,3.72,1.24,3.16,3.34,6.74,1.26,4.23,3.86,0.45,1.22
1977,2.3,1.03,4.21,3.42,1.51,4.8,4.59,4.83,2.71,3.77,3.95,3.04
1978,6.38,0.67,2.87,3.15,5.74,1.94,7.6,10,3.1,3.2,3.11,9.97
1979,4.07,2.92,3.22,4.92,4.17,2.8,4.72,6.2,9.69,2.96,4.52,3.81
1980,1.63,1.17,6.04,2.82,2.27,1.88,5.55,5.1,2.47,2.07,2.02,1.67
1981,0.37,4.76,1.76,4.88,5.1,2.29,5.27,2.72,1.97,2.44,1.99,3.1
1982,5.47,2.16,3.89,2.19,2.51,3.95,3.82,4.01,1.21,1.56,3.45,4.53
1983,1.29,1.61,1.48,5.18,10.84,2.18,2.41,1.26,1.33,6.13,3.59,3.46
1984,1.64,3.31,4.09,5.02,5.34,2.2,4.8,0.56,1.36,3.87,5.19,4.89
1985,1.91,1.11,3.69,2.34,4.34,4.98,3.37,3.76,1.93,4.23,4.96,1.13
1986,0.53,2.48,2.43,1.65,3.24,1.29,5.64,2.67,3.08,2.06,6.49,3.3
1987,1.3,3.62,3.13,2.23,1.8,6.59,3.48,4.18,0.91,0.55,2.72,6.17
1988,2.94,3.06,2.34,2.93,3.02,0.61,3.51,4.18,5.96,1.34,5.39,3.62
1989,3.99,10.12,6.08,2.6,5.39,4.26,4.2,3.98,4.98,3.38,2.38,1.8
1990,4.17,3.43,1.89,2.37,5.41,4.59,6.45,4.36,2.12,4.49,2.69,10.17
1991,2.57,3.91,5.8,2.7,3.95,2.91,3.6,3.08,2.09,2.7,1.27,7.22
1992,3.63,1.84,4.7,2.11,4.68,7.74,10.27,4.73,3.44,0.65,3.5,1.8
1993,2.42,4.15,3.77,3.53,2.43,5.46,3.38,4.52,3,4.19,5.42,3.31
1994,4.5,4.42,6.83,5.18,4.86,3.84,2.29,3.72,1.19,2.11,2.89,3.87
1995,5.01,2.26,3.32,3.9,8.97,8.17,1.26,4.89,2.76,3.64,3.19,2.71
1996,4.51,1.86,4.62,4.84,8.98,5.1,5.3,2.3,4.15,2.1,4.79,5.26
1997,3.7,3.97,13.82,1.89,8.85,9.54,3.29,2.58,2.38,2.37,4.06,2.68
1998,3.99,2.58,3.4,6.2,6.14,10.81,7.98,0.29,0.61,2.41,1.96,3.23
1999,5.77,2.38,3.8,2.23,1.31,5.38,2.47,0.99,1.39,1.63,1.82,2.7
2000,3.4,4.81,3.89,4.52,2.99,3.82,3.36,3.5,5.32,0.74,2,3.75
2001,1.35,3.56,3.27,1.14,6,2.58,5.78,2.93,2.46,3.71,3.3,2.89
2002,2.39,1.37,7.58,5.28,4.29,2.69,1.75,2.92,5.44,6.53,4.99,4.08
2003,0.95,4.85,2.44,4.1,8.35,6.41,5.08,4.53,5.07,1.75,5.93,3.93
2004,3.32,1.49,4.31,3.73,10.91,5.05,8.68,4.06,3.22,6.97,7.32,3.38
2005,4.27,2.23,3.49,3.47,2.64,2.28,3.05,6.1,0.89,0.93,1.77,2.4
2006,5.37,2.12,4.17,4.55,3.72,2.33,5.48,3.49,10.25,6.29,1.97,3.05
2007,3.37,2.47,2.38,4.12,1.21,2.68,6.39,4,0.88,6.53,2.75,6.93
2008,4.42,5.76,6.3,5.89,4.4,3.59,3.41,2.18,1.42,1.53,2.53,6.03
2009,4.32,2.54,2.39,4.78,6.04,5.19,7.57,4.53,5.9,5.77,0.96,4.02
2010,3.01,1.61,1.13,2.31,9.95,4.59,6.06,0.58,0.61,1.24,4.46,2.49
2011,2.04,6.22,4.69,12.7,6.45,3.2,4.92,3.64,5.97,4.41,7.68,4.43
2012,3.54,3.09,3.31,2.3,3.6,1.61,8.01,2.15,5.42,1.28,1.76,6.55
2013,4.46,1.52,5.35,4.87,5.66,7.54,9.1,5.14,1.63,6.23,2.45,5.58
2014,2.31,4.73,2.89,5.99,5.43,5.59,3.23,9.56,4.35,4.47,2.36,3.3
2015,1.85,3,7.46,11.41,2.07,5.64,9.66,2.2,2.71,3.45,3.23,7.21
2016,1.24,4.46,2.79,3.31,6.49,4.56,4.98,6.54,1.67,0.83,1.34,6.18
2017,4.71,3.39,3.28,1.84,5.64,5.78,5.23,5.07,3.74,5.77,2.35,2.37
2018,2.09,10.13,5.32,4.34,7.49,4.34,4.41,5.21,10.42,7.35,4.82,6.06
